index,latitude,longitude,Total Resident Population,"Total Energy Consumed per Capita, million Btu","Total Energy Production per Capita, million Btu",Number of Mining Sites
AK,63.588753000000004,-154.493062,737438,830,1913.38,12963
AL,32.318231,-86.902298,4887871,400,254.3,4831
AR,35.20105,-91.83183299999999,3013825,372,294.31,3759
AZ,34.048928000000004,-111.093731,7171646,208,86.59,12942
CA,36.778261,-119.41793200000001,39557045,202,60.87,42772
CO,39.550051,-105.782067,5695564,266,642.96,17669
CT,41.603221000000005,-73.087749,3572665,211,60.18,1274
DC,38.905985,-77.03341800000001,702455,249,2.85,48
DE,38.910832,-75.52767,967171,301,3.1,48
FL,27.664827000000002,-81.515754,21299325,202,26.62,1609
GA,32.157435,-82.907123,10519475,274,61.6,2645
HI,19.898682,-155.66585700000002,1420491,206,18.3,61
IA,41.878003,-93.097702,3156145,513,281.36,3431
ID,44.068202,-114.74204099999999,1754208,316,102.04,10328
IL,40.633125,-89.398528,12741080,315,200.53,2290
IN,40.551217,-85.602364,6691878,424,158.85,1042
KS,39.011902,-98.484246,2911505,390,267.9,174
KY,37.839333,-84.27001800000001,4468402,391,258.03,615
LA,31.244822999999997,-92.14502399999999,4659978,945,758.8,601
MA,42.407211,-71.382437,6902149,212,18.26,1124
MD,39.045755,-76.641271,6042718,226,41.87,1090
ME,45.253783,-69.44546899999999,1338404,295,115.06,1664
MI,44.314844,-85.602364,9995915,290,68.53,3126
MN,46.729553,-94.6859,5611179,341,93.56,2334
MO,37.964253,-91.83183299999999,6126452,302,39.99,12906
MS,32.354668,-89.398528,2986530,400,106.14,1159
MT,46.879682,-110.36256599999999,1062305,410,938.53,10271
NC,35.759572999999996,-79.0193,10383620,252,66.64,5200
ND,47.551493,-101.002012,760077,872,5563.91,322
NE,41.492537,-99.901813,1929268,475,230.66,86
NH,43.193852,-71.572395,1356458,240,118.69,760
NJ,40.058324,-74.405661,8908520,252,43.22,1266
NM,34.97273,-105.03236299999999,2095428,336,1637.85,8119
NV,38.802609999999994,-116.419389,3034392,240,35.26,15408
NY,43.299428000000006,-74.217933,19542209,197,46.46,3179
OH,40.417287,-82.907123,11689442,322,288.29,1443
OK,35.007752,-97.092877,3943079,433,1237.87,4467
OR,43.804133,-120.554201,4190713,242,115.02,16397
PA,41.203322,-77.194525,12807060,310,701.72,2797
RI,41.580095,-71.477429,1057315,187,6.62,125
SC,33.836081,-81.163725,5084127,329,136.9,1755
SD,43.969515,-99.901813,882235,452,275.44,2476
TN,35.517491,-86.58044699999999,6770010,333,86.56,4676
TX,31.968598999999998,-99.901813,28701845,498,711.49,2664
UT,39.32098,-111.093731,3161105,265,282.81,13714
VA,37.431573,-78.656894,8517685,283,105.66,4483
VT,44.558803000000005,-72.577841,626299,223,65.46,970
WA,47.751073999999996,-120.74013899999999,7535591,276,138.01,11081
WI,43.784440000000004,-88.787868,5813568,325,56.76,6158
WV,38.597626,-80.454903,1805832,462,2641.44,316
WY,43.075967999999996,-107.29028400000001,577737,967,13359.02,5175
